title,brand,det_features,price_PKR,det_title,image
"Galaxy A7 - 5.7"" - 3GB - 32GB - 16MP - Gold - With Neon Flip Cover",Samsung ,"Brand Warranty,Memory: 32 GB, 3 GB RAM,Processor: Octa-core 1.9 GHz Cortex-A53,OS: Android OS, v6.0.1 (Marshmallow),Screen: 5.7 inches (~73.6% screen-to-body ratio),Camera: 16 MP, f/1.9, 27mm, autofocus, LED flash",46299,"Samsung Galaxy A7 - 5.7"" - 3GB - 32GB - 16MP - Gold - With Neon Flip Cover",https://static.daraz.pk/BbjtXsCTOrKFL62DyEbUaik89GA=/fit-in/220x220/filters:fill(white)/product/83/99666/1.jpg?5230
VIP Traders Official Gear Vr - Black,Samsung ,"Size: 207.8*122.5*98.6mm
W,eight: 345g
,Horizon: 101 degrees of vision
,Material: toughened glass,environmental protection material
,The sensor: acceleration sensor,gyro sensor,proximity sensor
,Compatible phones: Galaxy note7, S7edge, S7, note5, S6edge +, S6edge, S6",8999,Samsung VIP Traders Official Gear Vr - Black,https://static.daraz.pk/dkteQEcFKt7Rf3ofaD-sRjbQsrc=/fit-in/220x220/filters:fill(white)/product/01/71156/1.jpg?5693
"S8+ - 6.2"" - QHD+ Display - 4GB RAM - 64GB ROM - Maple Gold",Samsung ,"Brand Warranty,6.2 inches (~84.0% screen-to-body ratio),1440 x 2960 pixels QHD+ (~529 ppi pixel density),Qualcomm MSM8998 Snapdragon 835,12 MP, f/1.7, 26mm, phase detection autofocus, OIS, LED flash,Iris scanner, Fingerprint (Rear-Mounted)",86899,"Samsung S8+ - 6.2"" - QHD+ Display - 4GB RAM - 64GB ROM - Maple Gold",https://static.daraz.pk/ICxB0xMfnjghvShwayisdghblvw=/fit-in/220x220/filters:fill(white)/product/85/98266/1.jpg?5236
"Galaxy A7 - 5.7"" - 3GB - 32GB - 16MP - Black",Samsung ,"Brand Warranty,Memory: 32 GB, 3 GB RAM,Processor: Octa-core 1.9 GHz Cortex-A53,Screen: 5.7 inches (~73.6% screen-to-body ratio),Camera: 16 MP, f/1.9, 27mm, autofocus, LED flash",45999,"Samsung Galaxy A7 - 5.7"" - 3GB - 32GB - 16MP - Black",https://static.daraz.pk/B_JmRXw6SnUghIi11RrSvfXdKgs=/fit-in/220x220/filters:fill(white)/product/53/59456/1.jpg?5173
"J120F - Galaxy J1 - 4.5"" - 8GB - 1GB RAM - 5MP Camera - Black",Samsung ,"Brand Warranty,Screen Size & Type: 4.5"" TFT capacitive touchscreen, 16M colors,Storage + Memory Support: 8GB HDD, microSD up to 128GB,Camera (Rear + Front): 5MP (rear) + 2MP (front),Processor + RAM:Quad-core 1.3 GHz Cortex-A7 , 1GB RAM,Operating System: Android OS, v5.1.1 (Lollipop)",13250,"Samsung J120F - Galaxy J1 - 4.5"" - 8GB - 1GB RAM - 5MP Camera - Black",https://static.daraz.pk/LsaCqLlif9wGsG0P2M9y_vbRkOw=/fit-in/220x220/filters:fill(white)/product/14/47516/1.jpg?6671
"J5 Prime - 5.0"" - 16GB ROM - 2GB RAM - 13MP - Black",Samsung ,,23399,"Samsung J5 Prime - 5.0"" - 16GB ROM - 2GB RAM - 13MP - Black",https://static.daraz.pk/KfCM2hEkF7t2PYY_DRjKtg0a8p8=/fit-in/220x220/filters:fill(white)/product/22/06446/1.jpg?5109
"Galaxy A3 - 4.7"" - 2GB - 16GB - 13MP - Blue Mist",Samsung ,"Brand Warranty,Memory: 16 GB, 2 GB RAM,Processor: Octa-core 1.6 GHz Cortex-A53,Screen: 4.7 inches (~67.9% screen-to-body ratio),Camera: 13 MP, f/1.9, autofocus, LED flash, ",30699,"Samsung Galaxy A3 - 4.7"" - 2GB - 16GB - 13MP - Blue Mist",https://static.daraz.pk/TDx4yO9hiYcHPCyakI79OfAobc4=/fit-in/220x220/filters:fill(white)/product/00/86946/1.jpg?5076
"Galaxy Grand Prime Plus - 5.0"" - 8GB - 1.5GB RAM - 8MP Camera - Silver",Samsung ,"Brand Warranty,Screen: 5.0"",Camera: 8MP,Storage: 8GB - 1.5GB RAM",14795,"Samsung Galaxy Grand Prime Plus - 5.0"" - 8GB - 1.5GB RAM - 8MP Camera - Silver",https://static.daraz.pk/r0P161BHVe0lYddkbCDZgJSFZ2c=/fit-in/220x220/filters:fill(white)/product/60/85466/1.jpg?4050
"Galaxy J2 - 4.7"" - 8GB - 1GB RAM - 5MP Camera - Black",Samsung ,"Brand Warranty  ,Screen Size & Type: 4.7 inches, 540 x 960 pixels, Super AMOLED Multitouch screen,Storage + Memory Card Support: 8GB built-in, microSD card (supports up to 128GB) ,Processor + RAM: 1.3 GHz Quad Core, 1GB RAM,Dual Sim,Color: Black",12899,"Samsung Galaxy J2 - 4.7"" - 8GB - 1GB RAM - 5MP Camera - Black",https://static.daraz.pk/zsdjqThXYe2-zar7qogmcrh4LGo=/fit-in/220x220/filters:fill(white)/product/23/67356/1.jpg?6518
"Galaxy A7 - 5.7"" - 3GB - 32GB - 16MP - Blue",Samsung ,"Brand Warranty,Memory: 32 GB, 3 GB RAM,Processor: Octa-core 1.9 GHz Cortex-A53,Screen: 5.7 inches (~73.6% screen-to-body ratio),Camera: 16 MP, f/1.9, 27mm, autofocus, LED flash",45999,"Samsung Galaxy A7 - 5.7"" - 3GB - 32GB - 16MP - Blue",https://static.daraz.pk/E3XHX9MRr0472xhuftePsowzvfQ=/fit-in/220x220/filters:fill(white)/product/50/86946/1.jpg?5167
