image,price(PKR),brand,title
https://static.daraz.pk/zsdjqThXYe2-zar7qogmcrh4LGo=/fit-in/220x220/filters:fill(white)/product/23/67356/1.jpg?6518,12899,Samsung ,"Galaxy J2 - 4.7"" - 8GB - 1GB RAM - 5MP Camera - Black"
https://static.daraz.pk/FEcKyWwDfgTShAFBXNFmz3yUHEE=/fit-in/220x220/filters:fill(white)/product/46/76946/1.jpg?5157,30699,Samsung ,"Galaxy A3 - 4.7"" - 2GB - 16GB - 13MP - Black"
https://static.daraz.pk/TDx4yO9hiYcHPCyakI79OfAobc4=/fit-in/220x220/filters:fill(white)/product/00/86946/1.jpg?5076,30699,Samsung ,"Galaxy A3 - 4.7"" - 2GB - 16GB - 13MP - Blue Mist"
https://static.daraz.pk/Hsgwekcqssdtpk_iQxb0VGoIGyk=/fit-in/220x220/filters:fill(white)/product/73/95366/1.jpg?9343,4599,Samsung ,Fast Wireless Charger - Black
https://static.daraz.pk/KfCM2hEkF7t2PYY_DRjKtg0a8p8=/fit-in/220x220/filters:fill(white)/product/22/06446/1.jpg?5109,23399,Samsung ,"J5 Prime - 5.0"" - 16GB ROM - 2GB RAM - 13MP - Black"
https://static.daraz.pk/r0P161BHVe0lYddkbCDZgJSFZ2c=/fit-in/220x220/filters:fill(white)/product/60/85466/1.jpg?4050,14795,Samsung ,"Galaxy Grand Prime Plus - 5.0"" - 8GB - 1.5GB RAM - 8MP Camera - Silver"
https://static.daraz.pk/LsaCqLlif9wGsG0P2M9y_vbRkOw=/fit-in/220x220/filters:fill(white)/product/14/47516/1.jpg?6671,13250,Samsung ,"J120F - Galaxy J1 - 4.5"" - 8GB - 1GB RAM - 5MP Camera - Black"
https://static.daraz.pk/m5S5SHasKULdc9GEeGpobK2dZfE=/fit-in/220x220/filters:fill(white)/product/72/33436/1.jpg?5204,23000,Samsung ,J320F - Galaxy J3 - 8GB - With Free Kingston 16 GB Micro SD Card - White
https://static.daraz.pk/KxUkAC_VLqvbDeVQBL3Lwjouapk=/fit-in/220x220/filters:fill(white)/product/78/78046/1.jpg?5215,29400,Samsung ,Galaxy J5 Prime - 16 GB - Black
https://static.daraz.pk/3XnXgjBK00MC5IUAMqSr5VWxgD4=/fit-in/220x220/filters:fill(white)/product/73/71056/1.jpg?5208,9569,Samsung ,Galaxy J1 Mini Prime - 8GB - Gold
