[u'https://www.daraz.pk/angelscollection/?q=samsung', u'AngelsCollection']
[u'https://www.daraz.pk/rafay-shafay-collection/?q=samsung', u'Rafay & Shafay Collection']
[u'https://www.daraz.pk/packdeals/?q=samsung', u'packdeals']
[u'https://www.daraz.pk/totu-design/?q=samsung', u'TOTU DESIGN']
[u'https://www.daraz.pk/gfive/?q=samsung', u'Gfive']
[u'https://www.daraz.pk/taotronics/?q=samsung', u'TaoTronics']
[u'https://www.daraz.pk/universal/?q=samsung', u'Universal']
[u'https://www.daraz.pk/inspired/?q=samsung', u'Inspired']
[u'https://www.daraz.pk/sb/?q=samsung', u'SB']
[u'https://www.daraz.pk/i-t-wholeseller/?q=samsung', u'I.T WholeSeller']
[u'https://www.daraz.pk/r-a/?q=samsung', u'R & A']
[u'https://www.daraz.pk/daraz-accessories/?q=samsung', u'Daraz Accessories']
[u'https://www.daraz.pk/sheridan-traders/?q=samsung', u'Sheridan\xa0Traders']
[u'https://www.daraz.pk/siemens/?q=samsung', u'Siemens']
[u'https://www.daraz.pk/genius/?q=samsung', u'Genius']
[u'https://www.daraz.pk/rajesh/?q=samsung', u'Rajesh']
[u'https://www.daraz.pk/lumdoo/?q=samsung', u'Lumdoo']
[u'https://www.daraz.pk/rokform/?q=samsung', u'Rokform']
[u'https://www.daraz.pk/haptime/?q=samsung', u'Haptime']
[u'https://www.daraz.pk/pngxe/?q=samsung', u'PNGXE']
[u'https://www.daraz.pk/thrifty-collection/?q=samsung', u'Thrifty Collection']
[u'https://www.daraz.pk/zovor/?q=samsung', u'Zovor']
[u'https://www.daraz.pk/hm/?q=samsung', u'HM']
[u'https://www.daraz.pk/future-tech/?q=samsung', u'Future Tech']
[u'https://www.daraz.pk/roman/?q=samsung', u'Roman']
[u'https://www.daraz.pk/dynamic-mart/?q=samsung', u'Dynamic Mart ']
[u'https://www.daraz.pk/kitsound/?q=samsung', u'KitSound']
[u'https://www.daraz.pk/warner/?q=samsung', u'Warner']
[u'https://www.daraz.pk/blueant/?q=samsung', u'BlueAnt']
[u'https://www.daraz.pk/odd-bits/?q=samsung', u'Odd Bits']
[u'https://www.daraz.pk/ipefet/?q=samsung', u'iPefet']
[u'https://www.daraz.pk/quickshopping/?q=samsung', u'Quickshopping']
[u'https://www.daraz.pk/rivo/?q=samsung', u'RIVO']
[u'https://www.daraz.pk/jcpal/?q=samsung', u'JCPAL ']
